generation	pansn	assembly	cultivar	derivation	source_db	source_landing_page	dataset_id	distributed_filename	release_date	total_bp	chr1_9_bp	unplaced_bp	unplaced_contigs	n_records	n50_bp	sha256	note
r1.0	CUN#1	CUNphKu	Satsuma	Kunenbo-derived haploid	Plant GARDEN (Kazusa DNA Research Institute)	https://plantgarden.jp/ja/download/Citrus_unshiu/	t55188.G004	CUNphKu_r1.0.ch1-9.fasta.gz	UNKNOWN_FROM_AVAILABLE_SOURCES	357637027	357637027	0	0	9	44176352	c654d865b971946cb289f6a348ee7dcef88cf1fa78925399cc45be18a4c32d9a	unplaced contigs distributed as a separate file and not obtained for this tutorial; 0 here means 'not in the files we downloaded', NOT 'absent at source'
r1.0	CUN#2	CUNphKi	Satsuma	Kishu-derived haploid	Plant GARDEN (Kazusa DNA Research Institute)	https://plantgarden.jp/ja/download/Citrus_unshiu/	t55188.G003	CUNphKi_r1.0.pmol.fasta.gz	UNKNOWN_FROM_AVAILABLE_SOURCES	348509231	348509231	0	0	9	34509130	fa9aca67e0cd53b7129f94a43df10d020eb6a0cfc8e4dec364fac99cdb38b29c	unplaced contigs distributed as a separate file and not obtained for this tutorial; 0 here means 'not in the files we downloaded', NOT 'absent at source'
r1.0	CKI#1	CKIhap1	Kishu	haploid 1	Plant GARDEN (Kazusa DNA Research Institute)	https://plantgarden.jp/ja/download/Citrus_kinokuni/	t408488.G002	CKIhap1_r1.0.pmol.fasta.gz	UNKNOWN_FROM_AVAILABLE_SOURCES	304185586	304185586	0	0	9	33465452	3f5e8f4da1b3e6f4f27c6e434d0b167644d2fb486995881c9a97e165c987b4f8	unplaced contigs distributed as a separate file and not obtained for this tutorial; 0 here means 'not in the files we downloaded', NOT 'absent at source'
r1.0	CKI#2	CKIhap2	Kishu	haploid 2	Plant GARDEN (Kazusa DNA Research Institute)	https://plantgarden.jp/ja/download/Citrus_kinokuni/	t408488.G003	CKIhap2_r1.0.pmol.fasta.gz	UNKNOWN_FROM_AVAILABLE_SOURCES	310306906	310306906	0	0	9	32542551	df47dd4b4739e7c92e77bb7101d74bdadf1366fe1a18889885b9bf22a9f9ec3e	unplaced contigs distributed as a separate file and not obtained for this tutorial; 0 here means 'not in the files we downloaded', NOT 'absent at source'
r1.0	CKU#1	CKUhap1	Kunenbo	haploid 1	Plant GARDEN (Kazusa DNA Research Institute)	https://plantgarden.jp/ja/download/Citrus_nobilis/	t481549.G002	CKUhap1_r1.0.pmol.fasta.gz	UNKNOWN_FROM_AVAILABLE_SOURCES	323865489	323865489	0	0	9	36646890	5ddf22cc2ca869be2d7b2080e43d5364bf1520959b2b843509953c76759ff847	unplaced contigs distributed as a separate file and not obtained for this tutorial; 0 here means 'not in the files we downloaded', NOT 'absent at source'
r1.0	CKU#2	CKUhap2	Kunenbo	haploid 2	Plant GARDEN (Kazusa DNA Research Institute)	https://plantgarden.jp/ja/download/Citrus_nobilis/	t481549.G003	CKUhap2_r1.0.pmol.fasta.gz	UNKNOWN_FROM_AVAILABLE_SOURCES	303365732	303365732	0	0	9	32965372	e7de53c0b21937fb2343482ba39739776489ede8e461acf013675fd4ae6d542f	unplaced contigs distributed as a separate file and not obtained for this tutorial; 0 here means 'not in the files we downloaded', NOT 'absent at source'
r2.0	CUN#1	CUNphKu	Satsuma	Kunenbo-derived haploid	Mikan Genome Database 2 (MiGD2), NARO	https://mikan.dna.naro.go.jp/migd2/data_download/download.html	CUNphKu_r2.0	CUNphKu_r2.0.genome.masked.fa.gz	2026-03-23	307782236	300436584	7345652	78	87	31491454	72feccc3a91bd6af0599c8ae0d5f392f64f9e422314043040cd16921f8e9ba49	unplaced contigs included in the same distributed file; only chr1-9 enters the graph; sequence is repeat-masked (lower case)
r2.0	CUN#2	CUNphKi	Satsuma	Kishu-derived haploid	Mikan Genome Database 2 (MiGD2), NARO	https://mikan.dna.naro.go.jp/migd2/data_download/download.html	CUNphKi_r2.0	CUNphKi_r2.0.genome.masked.fa.gz	2026-03-23	319158822	298723234	20435588	265	274	31113633	f14aeb6ba4f0cba614f67c017fbec49d5c451abe3a76a1aa240eef127c03c377	unplaced contigs included in the same distributed file; only chr1-9 enters the graph; sequence is repeat-masked (lower case)
r2.0	CKI#1	CKIhap1	Kishu	haploid 1	Mikan Genome Database 2 (MiGD2), NARO	https://mikan.dna.naro.go.jp/migd2/data_download/download.html	CKIhap1_r2.0	CKIhap1_r2.0.genome.masked.fa.gz	2026-03-23	308599328	295557188	13042140	142	151	30539997	07ceead8d4bf251fb1169d8776432d2ab67a2b417d311e1a6db50c639b57f41c	unplaced contigs included in the same distributed file; only chr1-9 enters the graph; sequence is repeat-masked (lower case)
r2.0	CKI#2	CKIhap2	Kishu	haploid 2	Mikan Genome Database 2 (MiGD2), NARO	https://mikan.dna.naro.go.jp/migd2/data_download/download.html	CKIhap2_r2.0	CKIhap2_r2.0.genome.masked.fa.gz	2026-03-23	315397983	297893835	17504148	186	195	30087031	4e0cec667759c53996b8d9ab887ef417aa05352cf46ca854258d366679da9db4	unplaced contigs included in the same distributed file; only chr1-9 enters the graph; sequence is repeat-masked (lower case)
r2.0	CKU#1	CKUhap1	Kunenbo	haploid 1	Mikan Genome Database 2 (MiGD2), NARO	https://mikan.dna.naro.go.jp/migd2/data_download/download.html	CKUhap1_r2.0	CKUhap1_r2.0.genome.masked.fa.gz	2026-03-23	316998392	295094106	21904286	203	212	30754149	f13fe6bd6dc6ffcd4bed79ecc0e949b648ea37e536a4c218ad748a0ab758b06a	unplaced contigs included in the same distributed file; only chr1-9 enters the graph; sequence is repeat-masked (lower case)
r2.0	CKU#2	CKUhap2	Kunenbo	haploid 2	Mikan Genome Database 2 (MiGD2), NARO	https://mikan.dna.naro.go.jp/migd2/data_download/download.html	CKUhap2_r2.0	CKUhap2_r2.0.genome.masked.fa.gz	2026-03-23	322330012	306377126	15952886	82	91	33530864	71605ca60a7ebb8d6741044b02679231b581424fa03417daa93eada4365493ff	unplaced contigs included in the same distributed file; only chr1-9 enters the graph; sequence is repeat-masked (lower case)
